시도,날짜,일조시간
서울,2024-02,109.3
서울,2024-03,190.6
서울,2024-04,209.2
서울,2024-05,262.0
서울,2024-06,285.6
서울,2024-07,96.3
서울,2024-08,179.0
서울,2024-09,166.9
서울,2024-10,166.4
서울,2024-11,182.9
서울,2024-12,206.3
세종,2020-01,138.6
세종,2020-02,171.0
세종,2020-03,224.6
세종,2020-04,279.6
세종,2020-05,213.7
세종,2020-06,208.3
세종,2020-07,86.3
세종,2020-08,152.8
세종,2020-09,171.7
세종,2020-10,204.5
세종,2020-11,157.2
세종,2020-12,167.7
세종,2021-01,166.4
세종,2021-02,186.0
세종,2021-03,192.0
세종,2021-04,212.5
세종,2021-05,198.6
세종,2021-06,211.5
세종,2021-07,228.5
세종,2021-08,148.1
세종,2021-09,148.7
세종,2021-10,170.4
세종,2021-11,162.0
세종,2021-12,154.3
세종,2022-01,196.6
세종,2022-02,204.9
세종,2022-03,165.6
세종,2022-04,241.9
세종,2022-05,301.1
세종,2022-06,182.5
세종,2022-07,184.3
세종,2022-08,134.2
세종,2022-09,170.9
세종,2022-10,200.9
세종,2022-11,171.0
세종,2022-12,153.5
세종,2023-01,179.6
세종,2023-02,157.2
세종,2023-03,233.0
세종,2023-04,188.1
세종,2023-05,209.3
세종,2023-06,219.0
세종,2023-07,139.3
세종,2023-08,176.3
세종,2023-09,140.6
세종,2023-10,198.4
세종,2023-11,158.4
세종,2023-12,115.5
세종,2024-01,130.2
세종,2024-02,95.4
세종,2024-03,188.1
세종,2024-04,192.2
세종,2024-05,265.5
세종,2024-06,262.6
세종,2024-07,120.7
세종,2024-08,222.2
세종,2024-09,178.5
세종,2024-10,120.5
세종,2024-11,165.3
세종,2024-12,152.3
울산,2020-01,153.6
울산,2020-02,210.7
울산,2020-03,238.0
울산,2020-04,277.4
울산,2020-05,245.5
울산,2020-06,257.2
울산,2020-07,111.4
울산,2020-08,230.2
울산,2020-09,166.2
울산,2020-10,230.7
울산,2020-11,190.7
울산,2020-12,236.0
울산,2021-01,211.5
울산,2021-02,208.7
울산,2021-03,204.5
울산,2021-04,241.5
울산,2021-05,219.0
울산,2021-06,212.7
울산,2021-07,235.8
울산,2021-08,166.3
울산,2021-09,136.9
울산,2021-10,214.9
울산,2021-11,220.4
울산,2021-12,230.4
울산,2022-01,235.2
울산,2022-02,242.7
울산,2022-03,211.5
울산,2022-04,258.3
울산,2022-05,318.2
울산,2022-06,225.7
울산,2022-07,183.9
울산,2022-08,162.0
울산,2022-09,134.7
울산,2022-10,207.9
울산,2022-11,210.8
울산,2022-12,224.0
울산,2023-01,223.2
울산,2023-02,171.5
울산,2023-03,231.5
울산,2023-04,225.0
울산,2023-05,200.0
울산,2023-06,204.7
울산,2023-07,166.9
울산,2023-08,196.2
울산,2023-09,142.9
울산,2023-10,229.8
울산,2023-11,209.2
울산,2023-12,191.4
울산,2024-01,197.5
울산,2024-02,100.89999999999999
울산,2024-03,215.1
울산,2024-04,186.8
울산,2024-05,273.1
울산,2024-06,209.0
울산,2024-07,193.6
울산,2024-08,272.0
울산,2024-09,167.7
울산,2024-10,121.7
울산,2024-11,152.6
울산,2024-12,236.0
인천,2020-01,184.79999999999998
인천,2020-02,169.4333333333333
인천,2020-03,263.3333333333333
인천,2020-04,301.7
인천,2020-05,172.29999999999998
인천,2020-06,205.9
인천,2020-07,168.53333333333333
인천,2020-08,88.66666666666667
인천,2020-09,208.4333333333333
인천,2020-10,234.29999999999998
인천,2020-11,167.4333333333333
인천,2020-12,175.9333333333333
인천,2021-01,161.4
인천,2021-02,186.66666666666666
인천,2021-03,215.20000000000002
인천,2021-04,227.4333333333333
인천,2021-05,229.33333333333334
인천,2021-06,194.73333333333335
인천,2021-07,243.93333333333337
인천,2021-08,171.13333333333333
인천,2021-09,203.53333333333333
인천,2021-10,192.9333333333333
인천,2021-11,155.73333333333332
인천,2021-12,163.20000000000002
인천,2022-01,197.83333333333334
인천,2022-02,200.1
인천,2022-03,178.6
인천,2022-04,247.36666666666665
인천,2022-05,276.0
인천,2022-06,127.16666666666667
인천,2022-07,181.63333333333333
인천,2022-08,157.9
인천,2022-09,217.73333333333335
인천,2022-10,223.4333333333333
인천,2022-11,169.76666666666668
인천,2022-12,169.0
인천,2023-01,176.33333333333334
인천,2023-02,204.4333333333333
인천,2023-03,224.4333333333333
인천,2023-04,186.5666666666667
인천,2023-05,221.9333333333333
인천,2023-06,215.26666666666665
인천,2023-07,169.70000000000002
인천,2023-08,190.96666666666667
인천,2023-09,181.13333333333333
인천,2023-10,217.46666666666667
인천,2023-11,147.4
인천,2023-12,101.93333333333334
인천,2024-01,158.66666666666666
인천,2024-02,136.36666666666667
인천,2024-03,219.76666666666665
인천,2024-04,217.33333333333334
인천,2024-05,246.0666666666667
인천,2024-06,286.3
인천,2024-07,103.66666666666667
인천,2024-08,229.20000000000002
인천,2024-09,185.96666666666667
인천,2024-10,192.13333333333333
인천,2024-11,178.79999999999998
인천,2024-12,172.53333333333333
전남,2020-01,131.66153846153844
전남,2020-02,173.78461538461536
전남,2020-03,238.84615384615384
전남,2020-04,270.2923076923077
전남,2020-05,196.8
전남,2020-06,196.66153846153844
전남,2020-07,77.42307692307692
전남,2020-08,176.15384615384616
전남,2020-09,163.4923076923077
전남,2020-10,226.8
전남,2020-11,168.1307692307692
전남,2020-12,177.41538461538462
전남,2021-01,169.3153846153846
전남,2021-02,171.90769230769232
전남,2021-03,218.10000000000002
전남,2021-04,233.3923076923077
전남,2021-05,218.42307692307693
전남,2021-06,215.3230769230769
전남,2021-07,193.7923076923077
전남,2021-08,179.89999999999998
전남,2021-09,125.56923076923077
전남,2021-10,214.25384615384615
전남,2021-11,183.47692307692307
전남,2021-12,169.83076923076925
전남,2022-01,193.24615384615385
전남,2022-02,198.33076923076925
전남,2022-03,183.97692307692307
전남,2022-04,231.2923076923077
전남,2022-05,279.34615384615387
전남,2022-06,158.5
전남,2022-07,188.52307692307693
전남,2022-08,140.3153846153846
전남,2022-09,160.1307692307692
전남,2022-10,238.64615384615385
전남,2022-11,183.3230769230769
전남,2022-12,163.2076923076923
전남,2023-01,181.97692307692307
전남,2023-02,173.46153846153845
전남,2023-03,225.83076923076925
전남,2023-04,190.69230769230768
전남,2023-05,181.8923076923077
전남,2023-06,184.44615384615386
전남,2023-07,101.08461538461538
전남,2023-08,227.63846153846154
전남,2023-09,165.8153846153846
전남,2023-10,222.73076923076923
전남,2023-11,159.56923076923078
전남,2023-12,126.97692307692309
전남,2024-01,156.91538461538462
전남,2024-02,108.94615384615385
전남,2024-03,191.06153846153848
전남,2024-04,176.47692307692307
전남,2024-05,264.61538461538464
전남,2024-06,190.5153846153846
전남,2024-07,127.9923076923077
전남,2024-08,270.24615384615385
전남,2024-09,206.03846153846155
전남,2024-10,147.03076923076924
전남,2024-11,154.0076923076923
전남,2024-12,166.07692307692307
전북,2020-01,116.19000000000001
전북,2020-02,178.20999999999998
전북,2020-03,233.15
전북,2020-04,271.85
전북,2020-05,207.01
전북,2020-06,176.59
전북,2020-07,77.61
전북,2020-08,153.69
전북,2020-09,156.07
전북,2020-10,218.86999999999998
전북,2020-11,164.66
전북,2020-12,156.33999999999997
전북,2021-01,154.27
전북,2021-02,176.10999999999999
전북,2021-03,201.65
전북,2021-04,225.0
전북,2021-05,199.7
전북,2021-06,201.62
전북,2021-07,196.0
전북,2021-08,158.17000000000002
전북,2021-09,142.57
전북,2021-10,210.32
전북,2021-11,156.17000000000002
전북,2021-12,149.36
전북,2022-01,181.51
전북,2022-02,193.38
전북,2022-03,171.82999999999998
전북,2022-04,249.93
전북,2022-05,283.39
전북,2022-06,174.5
전북,2022-07,169.76
전북,2022-08,128.02
전북,2022-09,168.32
전북,2022-10,226.24
전북,2022-11,183.67000000000002
전북,2022-12,147.57999999999998
전북,2023-01,174.66000000000003
전북,2023-02,175.4
전북,2023-03,238.6
전북,2023-04,187.25
전북,2023-05,196.43
전북,2023-06,207.18
전북,2023-07,127.4
전북,2023-08,203.09
전북,2023-09,154.39000000000001
전북,2023-10,217.19
전북,2023-11,147.57
전북,2023-12,111.0
전북,2024-01,142.20999999999998
전북,2024-02,110.44000000000001
전북,2024-03,190.84
전북,2024-04,184.07
전북,2024-05,252.81
전북,2024-06,215.4
전북,2024-07,123.27000000000001
전북,2024-08,235.99
전북,2024-09,192.32999999999998
전북,2024-10,149.94
전북,2024-11,157.05
전북,2024-12,133.52
제주,2020-01,94.625
제주,2020-02,153.875
제주,2020-03,212.0
제주,2020-04,270.025
제주,2020-05,201.725
제주,2020-06,159.375
제주,2020-07,121.775
제주,2020-08,220.65
제주,2020-09,159.8
제주,2020-10,215.025
제주,2020-11,157.9
제주,2020-12,147.025
제주,2021-01,135.9
제주,2021-02,160.65
제주,2021-03,192.15
제주,2021-04,230.2
제주,2021-05,234.45
제주,2021-06,197.75
제주,2021-07,168.775
제주,2021-08,186.4
제주,2021-09,154.55
제주,2021-10,222.875
제주,2021-11,183.825
제주,2021-12,147.025
제주,2022-01,139.125
제주,2022-02,137.775
제주,2022-03,171.22500000000002
제주,2022-04,229.05
제주,2022-05,250.04999999999998
제주,2022-06,158.875
제주,2022-07,213.2
제주,2022-08,225.0
제주,2022-09,144.72500000000002
제주,2022-10,204.6
제주,2022-11,180.85
제주,2022-12,101.0
제주,2023-01,125.575
제주,2023-02,137.225
제주,2023-03,203.9
제주,2023-04,201.85
제주,2023-05,166.35
제주,2023-06,153.39999999999998
제주,2023-07,97.075
제주,2023-08,248.1
제주,2023-09,196.525
제주,2023-10,232.325
제주,2023-11,152.35
제주,2023-12,91.275
제주,2024-01,117.45
제주,2024-02,78.875
제주,2024-03,169.3
제주,2024-04,148.55
제주,2024-05,248.75
제주,2024-06,138.52499999999998
제주,2024-07,148.475
제주,2024-08,265.5
제주,2024-09,187.325
제주,2024-10,118.325
제주,2024-11,137.875
제주,2024-12,121.65
충남,2020-01,143.36666666666667
충남,2020-02,178.98333333333335
충남,2020-03,242.26666666666665
충남,2020-04,284.8
충남,2020-05,200.9333333333333
충남,2020-06,186.8166666666667
충남,2020-07,95.23333333333333
충남,2020-08,122.23333333333333
충남,2020-09,170.58333333333334
충남,2020-10,209.70000000000002
충남,2020-11,167.08333333333334
충남,2020-12,170.21666666666667
충남,2021-01,173.13333333333333
충남,2021-02,190.28333333333333
충남,2021-03,203.66666666666666
충남,2021-04,214.6
충남,2021-05,194.88333333333333
충남,2021-06,200.54999999999998
충남,2021-07,220.9333333333333
충남,2021-08,145.0
충남,2021-09,169.43333333333334
충남,2021-10,194.41666666666666
충남,2021-11,163.65
충남,2021-12,159.76666666666665
충남,2022-01,204.5
충남,2022-02,204.33333333333334
충남,2022-03,173.1
충남,2022-04,248.96666666666667
충남,2022-05,312.26666666666665
충남,2022-06,164.76666666666668
충남,2022-07,179.4
충남,2022-08,122.38333333333333
충남,2022-09,179.0
충남,2022-10,191.83333333333334
충남,2022-11,185.04999999999998
충남,2022-12,154.18333333333334
충남,2023-01,191.75
충남,2023-02,188.11666666666667
충남,2023-03,246.1
충남,2023-04,196.35
충남,2023-05,215.16666666666666
충남,2023-06,222.5
충남,2023-07,150.06666666666666
충남,2023-08,202.33333333333334
충남,2023-09,157.95000000000002
충남,2023-10,212.53333333333333
충남,2023-11,146.93333333333334
충남,2023-12,102.33333333333333
충남,2024-01,148.41666666666666
충남,2024-02,102.03333333333335
충남,2024-03,200.8166666666667
충남,2024-04,200.33333333333334
충남,2024-05,268.4166666666667
충남,2024-06,269.3
충남,2024-07,125.46666666666665
충남,2024-08,235.98333333333335
충남,2024-09,187.79999999999998
충남,2024-10,150.93333333333334
충남,2024-11,174.25
충남,2024-12,152.41666666666666
충북,2020-01,138.74
충북,2020-02,179.85999999999999
충북,2020-03,235.04000000000002
충북,2020-04,267.15999999999997
충북,2020-05,213.66
충북,2020-06,198.26
충북,2020-07,98.97999999999999
충북,2020-08,126.38000000000002
충북,2020-09,157.6
충북,2020-10,216.28000000000003
충북,2020-11,172.38
충북,2020-12,179.98000000000002
충북,2021-01,177.6
충북,2021-02,196.0
충북,2021-03,204.48
충북,2021-04,219.34
충북,2021-05,184.5
충북,2021-06,193.18
충북,2021-07,216.26
충북,2021-08,130.16
충북,2021-09,156.92000000000002
충북,2021-10,185.8
충북,2021-11,164.88
충북,2021-12,173.34
충북,2022-01,183.28333333333333
충북,2022-02,216.91666666666666
충북,2022-03,178.8166666666667
충북,2022-04,254.33333333333334
충북,2022-05,306.8
충북,2022-06,173.51666666666665
충북,2022-07,166.01666666666665
충북,2022-08,118.68333333333334
충북,2022-09,186.8166666666667
충북,2022-10,201.3166666666667
충북,2022-11,193.71666666666667
충북,2022-12,162.43333333333334
충북,2023-01,189.5666666666667
충북,2023-02,181.6833333333333
충북,2023-03,245.25
충북,2023-04,193.96666666666667
충북,2023-05,228.29999999999998
충북,2023-06,213.6
충북,2023-07,141.93333333333334
충북,2023-08,175.78333333333333
충북,2023-09,158.54999999999998
충북,2023-10,205.53333333333333
충북,2023-11,177.38333333333333
충북,2023-12,130.75
충북,2024-01,151.76666666666668
충북,2024-02,97.39999999999999
충북,2024-03,198.33333333333334
충북,2024-04,198.96666666666667
충북,2024-05,271.31666666666666
충북,2024-06,257.3666666666667
충북,2024-07,117.68333333333334
충북,2024-08,213.35
충북,2024-09,171.26666666666665
충북,2024-10,139.06666666666666
충북,2024-11,169.29999999999998
충북,2024-12,178.73333333333335
